ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-08 03:36:59.483075,0.7425,0.77523404,0.9,0.7994736969470978,137.11377777901362
2,2020-05-08 03:39:16.810027,0.9656444,0.12002474,0.95,0.1335156556335278,134.12643409401062
3,2020-05-08 03:41:31.064922,0.98497224,0.052731246,0.97,0.08819399672183863,134.51436282799114
4,2020-05-08 03:43:45.702748,0.98670554,0.04907693,0.98,0.12191785019240342,133.41521779599134
5,2020-05-08 03:45:59.239710,0.99293333,0.025396861,0.94,0.20110701732482994,136.36925050601712
6,2020-05-08 03:48:15.779109,0.9929778,0.025412785,0.98,0.2157891612489607,134.51574559899746
7,2020-05-08 03:50:30.423030,0.99401665,0.021628536,0.99,0.021575345652593114,130.1997756009805
