ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-08 02:09:48.423723,0.7917639,0.6598295,0.88,1.2573359191417695,51.009454109938815
2,2020-05-08 02:10:39.661772,0.9639583,0.1269253,0.93,0.17345770025858656,51.398683609906584
3,2020-05-08 02:11:31.216291,0.985625,0.053735774,0.92,0.1734262213067268,50.07080022082664
4,2020-05-08 02:12:21.423016,0.9905,0.03164748,0.97,0.16540246859949548,48.76743653090671
5,2020-05-08 02:13:10.341617,0.9863194,0.056998752,0.92,0.28276146203279495,48.250896848971024
6,2020-05-08 02:13:58.710468,0.99581945,0.01530591,0.95,0.19158003039069627,50.96080844500102
7,2020-05-08 02:14:49.797142,0.99181944,0.032238122,0.99,0.012981938168559281,49.87624032003805
