ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-15 12:07:15.192378,0.33433333,2.1808372,0.1,2.335301637649536,3.5866175290429965
2,2020-06-15 12:07:18.948074,0.25766668,2.5737994,0.083333336,2.3074841499328613,3.5518934160354547
3,2020-06-15 12:07:22.613513,0.2,2.259072,0.11666667,2.3136117458343506,3.5327877620002255
4,2020-06-15 12:07:26.243573,0.143,2.268504,0.1,2.3063318729400635,3.534541624947451
5,2020-06-15 12:07:29.894850,0.19833334,2.2566915,0.11666667,2.306846857070923,3.5809428559732623
6,2020-06-15 12:07:33.574518,0.251,2.2243783,0.13333334,2.2851643562316895,3.464888850983698
7,2020-06-15 12:07:37.152985,0.22666667,2.2133913,0.15,2.293828010559082,3.567973005992826
8,2020-06-15 12:07:40.816595,0.21366666,2.245156,0.45,2.2725815773010254,3.52296427404508
9,2020-06-15 12:07:44.435558,0.38266668,2.1170352,0.15,2.230746030807495,3.448586223006714
10,2020-06-15 12:07:47.996958,0.27266666,2.3341084,0.23333333,2.2554590702056885,3.554019465984311
11,2020-06-15 12:07:51.647104,0.34,2.1482782,0.15,2.195929765701294,3.513275884964969
12,2020-06-15 12:07:55.257953,0.33633333,2.0193176,0.3,2.058178186416626,3.4614953590207733
13,2020-06-15 12:07:58.818512,0.297,2.1942396,0.26666668,2.0972824096679688,3.5534066859981976
14,2020-06-15 12:08:02.470558,0.503,1.7431321,0.46666667,1.8169007301330566,3.52095667400863
15,2020-06-15 12:08:06.093646,0.475,1.7841876,0.46666667,1.7831575870513916,3.4702207259833813
16,2020-06-15 12:08:09.657569,0.54333335,1.5282427,0.51666665,1.2882295846939087,3.5162473380332813
17,2020-06-15 12:08:13.286760,0.5886667,1.3437451,0.73333335,0.9527125954627991,3.528543158026878
18,2020-06-15 12:08:16.915277,0.651,1.1557565,0.93333334,0.7355466485023499,3.460336183954496
19,2020-06-15 12:08:20.471452,0.7,1.0009432,0.9166667,0.5422312617301941,3.5039349329890683
20,2020-06-15 12:08:24.070185,0.75733334,0.7862903,0.78333336,0.6291167736053467,3.5013244400033727
21,2020-06-15 12:08:27.665899,0.766,0.757896,0.8833333,0.5227829217910767,3.3921393050113693
22,2020-06-15 12:08:31.155596,0.85333335,0.5236745,0.8333333,0.5949316620826721,3.5498379369964823
23,2020-06-15 12:08:34.800641,0.8553333,0.5112481,0.95,0.2102539986371994,3.5120502980425954
24,2020-06-15 12:08:38.407172,0.887,0.3683555,0.8333333,0.4605421721935272,3.5002219479647465
