ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-15 11:54:35.206157,0.21166667,2.1858299,0.15,2.297901153564453,3.777886535041034
2,2020-06-15 11:54:39.151958,0.18466666,2.3060665,0.15,2.2998592853546143,4.080492169596255
3,2020-06-15 11:54:43.388958,0.181,2.220954,0.1,2.2862768173217773,3.5833526430651546
4,2020-06-15 11:54:47.069607,0.12033334,2.2558653,0.06666667,2.3149406909942627,3.8173724627122283
5,2020-06-15 11:54:51.010013,0.19433333,2.208124,0.05,2.280926465988159,3.8778253756463528
6,2020-06-15 11:54:55.005773,0.21533333,2.157185,0.13333334,2.3043837547302246,3.897050547413528
7,2020-06-15 11:54:59.020595,0.23866667,2.139417,0.11666667,2.2121164798736572,3.950467308051884
8,2020-06-15 11:55:03.085829,0.26433334,2.0987945,0.21666667,2.1964752674102783,3.850439409725368
9,2020-06-15 11:55:07.037285,0.355,1.9405534,0.31666666,2.0808565616607666,3.679793853312731
10,2020-06-15 11:55:10.835627,0.37,2.0414672,0.18333334,2.134835958480835,4.1028991267085075
11,2020-06-15 11:55:15.051548,0.364,1.9231709,0.38333333,1.6646382808685303,3.7335246885195374
12,2020-06-15 11:55:18.882827,0.367,1.7884035,0.6666667,1.720406413078308,3.7885929131880403
13,2020-06-15 11:55:22.790199,0.60433334,1.4103003,0.6166667,1.5005803108215332,3.5980498399585485
14,2020-06-15 11:55:26.504269,0.627,1.2417116,0.7,1.1267410516738892,3.6063326625153422
15,2020-06-15 11:55:30.214543,0.6016667,1.3830162,0.65,1.4330466985702515,3.816095331683755
16,2020-06-15 11:55:34.151602,0.65433335,1.0380312,0.6333333,0.9652144312858582,3.811334424652159
17,2020-06-15 11:55:38.082916,0.7366667,0.84927475,0.8833333,0.6039084196090698,3.5644578309729695
18,2020-06-15 11:55:41.746040,0.7776667,0.69070053,1.0,0.2734203636646271,3.645351422019303
19,2020-06-15 11:55:45.512682,0.783,0.8545439,0.81666666,0.7472467422485352,4.035736357793212
20,2020-06-15 11:55:49.664393,0.8433333,0.5341293,0.9,0.33032453060150146,3.8871377063915133
21,2020-06-15 11:55:53.669451,0.80266666,0.6574507,0.98333335,0.24990615248680115,3.7964773513376713
22,2020-06-15 11:55:57.583769,0.7726667,0.78697145,0.98333335,0.3619917333126068,3.7426248528063297
23,2020-06-15 11:56:01.439619,0.874,0.43002263,0.8666667,0.5374828577041626,3.6969387093558908
24,2020-06-15 11:56:05.238512,0.88766664,0.36491707,0.96666664,0.1877482384443283,3.6611994337290525
