ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-15 12:18:52.006019,0.30808333,2.0701275,0.06666667,2.288813352584839,15.88990000600461
2,2020-06-15 12:19:08.067934,0.35241666,2.0045485,0.26666668,2.2740111351013184,15.518569536972791
3,2020-06-15 12:19:23.739731,0.44866666,1.7483109,0.6,1.7366249561309814,16.078777880989946
4,2020-06-15 12:19:39.962637,0.6215,1.269639,0.73333335,0.9897599816322327,16.19479279901134
5,2020-06-15 12:19:56.307808,0.74216664,0.8288208,0.6666667,0.5812302827835083,15.919947888003662
6,2020-06-15 12:20:12.374301,0.82883334,0.57146144,0.93333334,0.4269457459449768,15.894619989034254
