ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-07-07 21:11:57.277489,0.11066667,2.3029218,0.15000000596046448,2.290388345718384,2.9661718192510307
2,2020-07-07 21:12:00.456162,0.08433333,2.2968483,0.15000000596046448,2.2857701778411865,2.177881906274706
3,2020-07-07 21:12:02.734512,0.14933333,2.28431,0.4000000059604645,2.2619993686676025,2.232171473093331
4,2020-07-07 21:12:05.060816,0.248,2.2592416,0.3333333432674408,2.231849431991577,2.032290854025632
5,2020-07-07 21:12:07.195615,0.17766666,2.2022173,0.6333333253860474,2.0494627952575684,2.182437725365162
6,2020-07-07 21:12:09.480634,0.387,2.270695,0.28333333134651184,2.238901376724243,2.0762067520990968
7,2020-07-07 21:12:11.652673,0.375,2.174067,0.5833333134651184,1.9072779417037964,2.167846643831581
8,2020-07-07 21:12:13.914210,0.37633333,2.1978674,0.3499999940395355,2.170253038406372,2.0566920400597155
9,2020-07-07 21:12:16.069688,0.41633335,2.0241082,0.4000000059604645,1.8393498659133911,2.150924281217158
10,2020-07-07 21:12:18.313984,0.5086667,1.6643436,0.6666666865348816,1.3380824327468872,2.057597810868174
11,2020-07-07 21:12:20.465783,0.6336667,1.2923687,0.7666666507720947,1.0826438665390015,2.2179837017320096
12,2020-07-07 21:12:22.777756,0.725,0.92437124,0.8166666626930237,0.6047518253326416,2.097258393652737
