ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-02 15:50:03.128008,0.86659336,0.4033385,0.9,0.4108153061941266,91.73024673014879
2,2020-05-02 15:51:35.037857,0.98072,0.06638089,0.93,0.1735723247842543,78.82415465824306
3,2020-05-02 15:52:53.996855,0.98994666,0.035499822,0.94,0.17649346086591322,81.7746164277196
4,2020-05-02 15:54:15.857777,0.9922133,0.028088646,0.97,0.0768740645876278,79.41743327025324
5,2020-05-02 15:55:35.361927,0.9934667,0.024535747,0.98,0.15325930671933746,78.50429500825703
6,2020-05-02 15:56:53.990472,0.99472,0.019009491,0.97,0.1047776428666026,88.40765889361501
7,2020-05-02 15:58:22.494702,0.99506,0.017867848,0.97,0.07119495203843798,77.98343489971012
8,2020-05-02 15:59:40.586732,0.9955867,0.01581045,1.0,0.004330822671641954,89.13040943909436
