ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-07-15 23:08:41.387309,0.13733333,2.3009727,0.2666666805744171,2.290961980819702,3.0053242263384163
2,2020-07-15 23:08:44.606610,0.116,2.2930524,0.11666666716337204,2.278035879135132,2.186008632183075
3,2020-07-15 23:08:46.890066,0.12,2.284631,0.3499999940395355,2.2666666507720947,2.1721911737695336
4,2020-07-15 23:08:49.160066,0.21033333,2.2467008,0.46666666865348816,2.2362895011901855,2.1656023878604174
5,2020-07-15 23:08:51.421966,0.26,2.2017624,0.4333333373069763,2.1372761726379395,2.1742670219391584
6,2020-07-15 23:08:53.691942,0.30733332,2.1245034,0.46666666865348816,1.9920310974121094,2.0683392509818077
7,2020-07-15 23:08:55.856312,0.44166666,2.0104003,0.30000001192092896,1.9741935729980469,2.210266624111682
8,2020-07-15 23:08:58.165362,0.44866666,1.6974372,0.8666666746139526,0.9042783975601196,2.0593874529004097
9,2020-07-15 23:09:00.319426,0.46033335,1.8931903,0.5333333611488342,1.503398060798645,2.129157977178693
10,2020-07-15 23:09:02.540388,0.6206667,1.3484194,0.6000000238418579,1.217362642288208,2.0447960891760886
11,2020-07-15 23:09:04.677416,0.71033335,1.0366213,0.7833333611488342,0.7272868752479553,2.1383453216403723
12,2020-07-15 23:09:06.910158,0.69666666,1.2370627,0.5166666507720947,1.2993099689483643,2.040499014314264
13,2020-07-15 23:09:09.047767,0.729,0.8207765,0.8166666626930237,0.5520468950271606,2.0608868743292987
14,2020-07-15 23:09:11.205629,0.772,0.7141183,0.7833333611488342,0.5702418684959412,2.1255701761692762
15,2020-07-15 23:09:13.425288,0.8193333,0.6343651,0.8500000238418579,0.5480020046234131,2.0048775454051793
16,2020-07-15 23:09:15.521556,0.86266667,0.46755037,0.9166666865348816,0.2171788066625595,2.051457789260894
17,2020-07-15 23:09:17.666823,0.87266666,0.41399646,1.0,0.19077187776565552,2.1826175348833203
18,2020-07-15 23:09:19.947423,0.8756667,0.41445836,0.9833333492279053,0.08946136385202408,2.0375824300572276
19,2020-07-15 23:09:22.078068,0.905,0.3244622,0.9333333373069763,0.24624809622764587,2.1384672606363893
20,2020-07-15 23:09:24.309207,0.9176667,0.27249178,0.8833333253860474,0.4465382695198059,2.057490222156048
21,2020-07-15 23:09:26.460997,0.92,0.270089,0.9666666388511658,0.12654098868370056,2.0131719410419464
22,2020-07-15 23:09:28.568311,0.9293333,0.24471952,1.0,0.05817096680402756,2.202848290093243
23,2020-07-15 23:09:30.865068,0.93266666,0.20962313,0.949999988079071,0.27737459540367126,2.007385338190943
24,2020-07-15 23:09:32.963989,0.9253333,0.24983455,0.9833333492279053,0.06308336555957794,1.963581289164722
