ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-07-15 23:48:10.769783,0.14083333,2.2841134,0.06666667014360428,2.2866299152374268,6.202020492870361
2,2020-07-15 23:48:17.196780,0.1715,2.2519834,0.3333333432674408,2.202479600906372,4.641139346174896
3,2020-07-15 23:48:21.937446,0.307,2.247009,0.20000000298023224,2.2627575397491455,4.617235918994993
4,2020-07-15 23:48:26.648056,0.31916666,2.1035943,0.5666666626930237,1.8228049278259277,4.4074046071618795
5,2020-07-15 23:48:31.152029,0.46916667,1.9710908,0.4000000059604645,1.8857775926589966,4.587498724926263
6,2020-07-15 23:48:35.832721,0.545,1.5117112,0.6666666865348816,1.2582371234893799,4.5059127463027835
7,2020-07-15 23:48:40.436001,0.69766665,1.0169563,0.9333333373069763,0.4363069236278534,4.5355125069618225
8,2020-07-15 23:48:45.067506,0.784,0.7227788,0.7666666507720947,0.6696622967720032,4.210757867433131
9,2020-07-15 23:48:49.371849,0.846,0.557764,0.8999999761581421,0.4499088227748871,4.470139726065099
10,2020-07-15 23:48:53.936356,0.881,0.4053198,0.8999999761581421,0.3636358082294464,4.494799189735204
11,2020-07-15 23:48:58.529813,0.88383335,0.41140994,1.0,0.1891590803861618,4.36160328797996
12,2020-07-15 23:49:02.986186,0.9253333,0.2584504,0.9333333373069763,0.2673254907131195,4.672395210713148
