ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-27 17:37:45.599323,0.1585,2.2944083,0.14,2.2857625484466553,11.447297024
2,2020-05-27 17:37:57.276970,0.1325,2.2770762,0.34,2.2536470890045166,14.264061318999996
3,2020-05-27 17:38:11.644784,0.16216667,2.2461624,0.44,2.1988561153411865,12.657513596000001
4,2020-05-27 17:38:24.452995,0.26383334,2.1573977,0.48,2.1050429344177246,14.769355830000002
5,2020-05-27 17:38:39.315781,0.40316668,2.0849361,0.5,1.9725161790847778,11.127831185000005
6,2020-05-27 17:38:50.536838,0.45916668,1.9990921,0.64,1.875412106513977,13.239102895999991
