,IIDNESS,SEED,iid_av,iid_max,0_av,0_max,1_av,1_max,2_av,2_max,3_av,3_max,4_av,4_max,5_av,5_max,6_av,6_max,7_av,7_max,8_av,8_max,9_av,9_max,noniid_av,std_over_labels
0,10.0,1.0,1.0006671114076051,7.0,1.1142374788970175,6.0,0.9344100197758735,9.0,1.1579339921685623,7.0,0.8807538963392534,6.0,0.9756561430201598,6.0,0.8854273416683747,6.0,1.2164445278768539,7.0,0.718212449015783,5.0,1.2818078237751613,6.0,0.8571428571428571,6.0,1.0022026529679897,0.17212271702587334
1,10.0,5.0,1.0006671114076051,7.0,1.0129431626336522,6.0,1.2458800263678314,6.0,1.1075890359873206,6.0,0.7339615802827111,6.0,1.0783567896538608,7.0,1.2174625947940152,6.0,0.9630185845691759,6.0,0.9097357687533251,6.0,1.0767185719711356,7.0,0.6554621848739496,6.0,1.0001128299886974,0.1818002462694276
2,10.0,10.0,1.0006671114076051,7.0,0.8103545301069218,5.0,0.8009228740936059,5.0,1.2586239045310461,6.0,0.6850308082638638,5.0,1.2324077596044123,7.0,1.2174625947940152,6.0,0.9123333959076403,5.0,1.0533782585564817,6.0,1.1792631978731485,6.0,0.907563025210084,5.0,1.005734034894122,0.19846363337517578
3,10.0,18.0,1.0006671114076051,6.0,1.0129431626336522,5.0,0.8454185893210283,5.0,1.3089688607122878,6.0,0.831823124320406,6.0,0.9243058197033093,6.0,0.7194097151055544,6.0,1.1657593392153183,7.0,1.0533782585564817,6.0,1.0254462590201292,6.0,1.1092436974789917,6.0,0.9996696826067157,0.1658838981825585
4,10.0,25.0,1.0006671114076051,7.0,0.7090602138435566,5.0,1.2458800263678314,7.0,1.5103486854372552,7.0,0.9296846683581007,5.0,1.0783567896538608,6.0,0.9961057593769215,6.0,1.2671297165383892,7.0,0.7660932789501684,5.0,0.6665400683630839,5.0,0.8067226890756303,5.0,0.9975921895964799,0.26291105601475956
5,20.0,1.0,1.0003334444814937,8.0,0.962228318210593,5.0,0.8008898776418243,5.0,1.157960981749528,6.0,0.7339449541284404,5.0,1.1810012836970476,6.0,1.1620936130966106,6.0,1.013727560718057,6.0,1.149241819632881,6.0,1.076693014313181,7.0,0.8067226890756303,5.0,1.0044504112263792,0.16166191464866825
6,20.0,5.0,1.0003334444814937,7.0,1.3167334880776536,7.0,0.8898776418242491,6.0,1.2586532410320956,6.0,0.9296636085626911,5.0,0.8729139922978177,6.0,0.9407424486972562,6.0,1.013727560718057,6.0,0.9098164405426975,5.0,0.8716086306344798,6.0,1.0084033613445378,5.0,1.0012140413731536,0.15126790657686495
7,20.0,10.0,1.0003334444814937,7.0,1.1648027009917705,5.0,0.8453837597330367,6.0,1.0572687224669604,6.0,0.4892966360856269,4.0,1.0783055198973042,6.0,1.6047959418953193,8.0,1.2164730728616684,7.0,0.7182761372705507,5.0,1.076693014313181,6.0,0.8571428571428571,5.0,1.0108438362658274,0.2895542522982324
8,20.0,18.0,1.0003334444814937,6.0,0.7090103397341211,5.0,0.6229143492769744,5.0,1.208307111390812,6.0,1.0275229357798166,6.0,0.975609756097561,6.0,1.1620936130966106,6.0,1.013727560718057,7.0,1.0534716679968077,7.0,1.1792352061525315,6.0,1.1092436974789917,6.0,1.0061136237722283,0.185639571273445
9,20.0,25.0,1.0003334444814937,8.0,1.0128719139058873,6.0,0.5339265850945495,4.0,1.157960981749528,7.0,1.418960244648318,7.0,0.6675224646983312,4.0,1.2174314041964491,6.0,1.2164730728616684,7.0,1.1013567438148444,6.0,0.8203375347148045,5.0,0.907563025210084,6.0,1.0054403970894463,0.25948953677134506
10,30.0,1.0,1.000277854959711,7.0,1.0127803231251506,8.0,1.0677966101694916,6.0,1.2586909614001438,7.0,0.831780055917987,6.0,0.8215158924205379,5.0,1.2173913043478262,6.0,0.9123823316437364,5.0,1.1012311901504788,6.0,1.025390625,6.0,0.7563025210084033,5.0,1.0005261815183757,0.16032754662675652
11,30.0,5.0,1.000277854959711,7.0,1.0634193392814082,6.0,1.1567796610169492,6.0,1.006952769120115,5.0,0.782851817334576,5.0,0.8728606356968215,5.0,0.9960474308300395,6.0,1.0137581462708183,5.0,1.0533515731874146,6.0,1.025390625,6.0,1.0084033613445378,6.0,0.997981535908268,0.09782322065467695
12,30.0,10.0,1.000277854959711,6.0,0.8608632746563781,6.0,0.9788135593220338,7.0,0.6545192999280748,5.0,0.929636533084809,6.0,0.8728606356968215,6.0,1.1067193675889329,6.0,1.1151339608979,7.0,1.2448700410396716,6.0,1.07666015625,6.0,1.1596638655462186,6.0,0.9999740694010839,0.16620943274217131
13,30.0,18.0,1.000277854959711,6.0,0.9621413069688932,6.0,1.0233050847457628,9.0,1.1579956844881323,7.0,0.929636533084809,6.0,0.8215158924205379,6.0,1.1067193675889329,5.0,0.9123823316437364,5.0,1.3406292749658002,7.0,0.9228515625,6.0,0.8067226890756303,6.0,0.9983899727482235,0.15560298798689418
14,30.0,25.0,1.000277854959711,6.0,1.0127803231251506,6.0,0.8008474576271186,5.0,1.3090385998561496,7.0,1.0274930102516309,8.0,0.6674816625916871,5.0,1.051383399209486,6.0,1.0644460535843592,6.0,0.813953488372093,5.0,1.23046875,6.0,1.0588235294117647,6.0,1.003671627402944,0.18560774073467168
15,40.0,1.0,1.0001666944490748,7.0,1.1142374788970175,6.0,1.2011863568956995,7.0,0.855944055944056,5.0,0.8317477575428105,5.0,1.026811180832858,5.0,1.1620043037196435,7.0,1.0644888763728526,6.0,0.9098164405426975,5.0,0.7177442324124181,5.0,1.1092436974789917,6.0,0.9993224380639043,0.1527878006198653
16,40.0,5.0,1.0001666944490748,7.0,1.1648846370287,7.0,1.0677212061295107,6.0,0.6041958041958042,5.0,0.8806740962217994,5.0,1.026811180832858,6.0,0.9960036889025515,5.0,0.963108983384962,6.0,0.8619313647246608,5.0,1.2816861293078894,7.0,1.1596638655462186,6.0,1.0006680956274956,0.18129164486486546
17,40.0,10.0,1.0001666944490748,7.0,0.911648846370287,5.0,1.2011863568956995,6.0,1.0573426573426574,5.0,1.1253057896167438,6.0,1.1294922989161438,7.0,0.8853366123578236,5.0,0.6589693044212898,4.0,0.8619313647246608,6.0,1.3842210196525206,7.0,0.7563025210084033,4.0,0.997173677130623,0.2096394050099318
18,40.0,18.0,1.0001666944490748,7.0,0.911648846370287,5.0,0.7563025210084033,5.0,1.0573426573426574,6.0,0.9296004349007883,5.0,1.2835139760410725,8.0,1.4940055333538271,7.0,0.8110391439031259,5.0,0.9577015163607342,6.0,0.9740814582739961,6.0,0.907563025210084,5.0,1.0082799112764975,0.21116024033604092
