ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-08 14:29:26.976216,0.40544444,2.1627164,0.08,2.282599449157715,17.812422481365502
2,2020-06-08 14:29:44.947159,0.30194443,2.2869346,0.1,2.2894487380981445,17.474167509004474
3,2020-06-08 14:30:02.506994,0.29894444,2.1336818,0.24,2.2282679080963135,17.34539644792676
4,2020-06-08 14:30:19.938067,0.33516666,2.1588743,0.12,2.240217685699463,16.953525023534894
5,2020-06-08 14:30:36.962102,0.36105555,2.0295866,0.64,2.0383481979370117,17.14704655762762
6,2020-06-08 14:30:54.210539,0.4861111,1.8635404,0.38,1.8930484056472778,16.70666430424899
7,2020-06-08 14:31:10.997060,0.512,1.719986,0.48,1.813583254814148,17.00486835464835
8,2020-06-08 14:31:28.087367,0.5437222,1.5762558,0.6,1.709940791130066,17.144604343920946
9,2020-06-08 14:31:45.312582,0.6566111,1.289177,0.7,1.3573733568191528,16.684445130638778
10,2020-06-08 14:32:02.065870,0.6731667,1.1718556,0.78,1.0133739709854126,16.95431458298117
11,2020-06-08 14:32:19.102854,0.7491111,0.90768737,0.92,0.6929035782814026,17.011835608631372
