ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-08 14:28:25.398078,0.23466666,2.1637754,0.06,2.4116268157958984,3.6025718795135617
2,2020-06-08 14:28:29.311074,0.265,2.287783,0.22,2.29961895942688,3.6410376243293285
3,2020-06-08 14:28:33.071568,0.279,2.1848557,0.22,2.243813991546631,3.6535057416185737
4,2020-06-08 14:28:36.825966,0.28433332,2.1990979,0.16,2.24762225151062,3.5872438177466393
5,2020-06-08 14:28:40.539198,0.312,2.0525267,0.2,2.1883533000946045,3.7193653536960483
6,2020-06-08 14:28:44.357490,0.36833334,2.1576605,0.36,2.2318549156188965,3.704032148234546
7,2020-06-08 14:28:48.178830,0.36166668,2.0577152,0.38,2.068939447402954,3.546131554991007
8,2020-06-08 14:28:51.827793,0.49233332,1.867875,0.52,2.026665687561035,3.6916571892797947
9,2020-06-08 14:28:55.619002,0.48933333,1.8361285,0.74,1.5625323057174683,3.67732981685549
10,2020-06-08 14:28:59.411317,0.56866664,1.5315776,0.56,1.4801490306854248,3.534451212733984
11,2020-06-08 14:29:03.045742,0.6423333,1.24919,0.66,1.2361502647399902,3.656103504821658
12,2020-06-08 14:29:06.802478,0.75233334,0.8006638,0.76,0.6695249676704407,3.68461156450212
13,2020-06-08 14:29:10.589375,0.77533334,0.7473579,0.96,0.3607138395309448,3.5829353909939528
