ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-25 17:50:10.084250,0.13555555,2.2701101,0.25,2.257256269454956,12.713428230956197
2,2020-06-25 17:50:22.998215,0.2441111,2.1974227,0.55,2.1478188037872314,11.133038230007514
3,2020-06-25 17:50:34.229468,0.443,2.041551,0.6,1.8912681341171265,11.183524335036054
4,2020-06-25 17:50:45.501506,0.59466666,1.4417934,0.8,0.9871543049812317,11.056443086010404
