ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-25 18:09:00.762327,0.19355555,2.2714322,0.4,2.2624242305755615,11.271987807005644
2,2020-06-25 18:09:12.192753,0.29255554,2.1748064,0.4,2.0759410858154297,10.380057131871581
3,2020-06-25 18:09:22.655185,0.42466667,1.9645412,0.75,1.7997430562973022,10.160747573012486
4,2020-06-25 18:09:32.899130,0.5883333,1.4696348,0.65,1.1497533321380615,10.025749121094123
