ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-25 18:01:47.181937,0.10733333,2.3048792,0.083333336,2.2942845821380615,4.41608581203036
2,2020-06-25 18:01:51.794306,0.112333335,2.2953398,0.16666667,2.276632070541382,4.579182259039953
3,2020-06-25 18:01:56.503170,0.115666665,2.280389,0.18333334,2.249671697616577,4.3381640838924795
4,2020-06-25 18:02:00.967862,0.13333334,2.2507968,0.55,2.1668219566345215,4.43907302711159
5,2020-06-25 18:02:05.523515,0.29233333,2.1632774,0.43333334,2.022753953933716,4.365251082926989
6,2020-06-25 18:02:10.015044,0.346,2.2235916,0.56666666,2.1409225463867188,4.333946165861562
7,2020-06-25 18:02:14.476646,0.518,1.8145534,0.6666667,1.311130166053772,4.221406298922375
8,2020-06-25 18:02:18.815282,0.32766667,2.7967598,0.18333334,2.278337001800537,4.425112109864131
9,2020-06-25 18:02:23.373367,0.112333335,2.2962193,0.11666667,2.2828290462493896,4.3385458688717335
10,2020-06-25 18:02:27.849007,0.16533333,2.2801707,0.033333335,2.292191743850708,4.563732840120792
11,2020-06-25 18:02:32.595069,0.152,2.2604773,0.18333334,2.232886552810669,4.077830758178607
12,2020-06-25 18:02:36.778524,0.241,2.1656382,0.26666668,1.9899510145187378,4.3014779870864
