ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-25 17:57:50.635353,0.09966667,2.3032377,0.11666667,2.2988669872283936,3.7463206499814987
2,2020-06-25 17:57:54.552630,0.15433334,2.292843,0.23333333,2.2897531986236572,3.7643704609945416
3,2020-06-25 17:57:58.439915,0.12633333,2.283227,0.2,2.2715814113616943,3.7365948520600796
4,2020-06-25 17:58:02.290842,0.17433333,2.2574675,0.41666666,2.1982810497283936,3.803411371074617
5,2020-06-25 17:58:06.210718,0.12766667,2.202251,0.43333334,2.1170904636383057,3.8108051661401987
6,2020-06-25 17:58:10.127634,0.24533333,2.1544642,0.4,2.0835039615631104,3.657145838951692
7,2020-06-25 17:58:13.900504,0.42033333,2.4573174,0.13333334,2.280482530593872,3.7742334390059114
8,2020-06-25 17:58:17.772587,0.14366667,2.27219,0.21666667,2.2514352798461914,3.7524933970998973
9,2020-06-25 17:58:21.638929,0.29166666,2.2064579,0.38333333,2.1336050033569336,3.667930742027238
10,2020-06-25 17:58:25.411937,0.372,2.0315843,0.7,1.6722029447555542,3.715203254017979
11,2020-06-25 17:58:29.228195,0.51033336,2.2319221,0.41666666,2.1416513919830322,3.6750916917808354
12,2020-06-25 17:58:33.003717,0.423,1.9051465,0.6,1.3799662590026855,3.5781074489932507
