ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-08 14:23:24.410451,0.09633333,2.299673,0.1,2.2976417541503906,3.7488458156585693
2,2020-06-08 14:23:28.329621,0.07833333,2.295838,0.15,2.284886360168457,3.78612959664315
3,2020-06-08 14:23:32.234938,0.16166666,2.2800777,0.23333333,2.2580690383911133,3.7023515636101365
4,2020-06-08 14:23:36.056678,0.19333333,2.235402,0.16666667,2.18477201461792,3.823412020690739
5,2020-06-08 14:23:39.998087,0.257,2.1520386,0.28333333,2.0083625316619873,3.7603776659816504
6,2020-06-08 14:23:43.860257,0.319,2.2907357,0.5,2.2358858585357666,3.6389909172430634
7,2020-06-08 14:23:47.625467,0.39733332,2.179601,0.51666665,1.9781272411346436,3.7610286129638553
8,2020-06-08 14:23:51.490547,0.49966666,1.8936183,0.45,1.6727122068405151,3.6798492139205337
9,2020-06-08 14:23:55.286152,0.573,1.7539616,0.53333336,1.6873754262924194,3.6843486288562417
10,2020-06-08 14:23:59.079727,0.64966667,1.3574668,0.68333334,0.8962867259979248,3.616993726231158
11,2020-06-08 14:24:02.797921,0.657,1.0733744,0.71666664,0.8836042881011963,3.7429254399612546
12,2020-06-08 14:24:06.648220,0.727,0.98554134,0.6666667,0.8383532762527466,3.664588493295014
