ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-17 12:58:47.510779,0.142,2.2781575,0.05,2.2729973793029785,11.463668587006396
2,2020-06-17 12:58:59.164143,0.19433333,2.2213328,0.4,2.1596927642822266,10.63262106399634
3,2020-06-17 12:59:09.909855,0.36255556,2.125382,0.6,1.8634551763534546,10.62893171198084
4,2020-06-17 12:59:20.623845,0.5267778,1.6356984,0.65,1.0563957691192627,10.028676149988314
