ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-06-17 12:59:37.729201,0.15544444,2.270208,0.35,2.271378755569458,10.705556292028632
2,2020-06-17 12:59:48.583156,0.2707778,2.2037036,0.3,2.1458640098571777,9.766408819996286
3,2020-06-17 12:59:58.428867,0.42544445,1.9875277,0.7,1.9732115268707275,9.818558689032216
4,2020-06-17 13:00:08.356256,0.55955553,1.5243502,0.55,1.2510441541671753,10.384238447993994
