ROUND_NUM,ROUND_START,SPARSE_CATEGORICAL_ACCURACY_TRAIN,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TRAIN,SPARSE_CATEGORICAL_ACCURACY_TEST,SPARSE_CATEGORICAL_CROSSENTROPY_LOSS_TEST,COMPLETION_TIME_SECONDS
1,2020-05-07 15:47:59.997911,0.81693333,0.5893738,0.84,1.549069619178772,21.412376262247562
2,2020-05-07 15:48:21.777541,0.9675,0.11397758,0.94,0.1594997270964086,21.285887454636395
3,2020-05-07 15:48:43.182880,0.986,0.053428564,0.97,0.11921438607678284,21.027805709280074
4,2020-05-07 15:49:04.327839,0.98903334,0.04050807,0.98,0.02576739300216104,20.884930626489222
5,2020-05-07 15:49:25.334032,0.9924333,0.030255297,0.99,0.08122363952249997,21.07828563451767
